,ALTURA TOTAL,FAMILIA,Nombre común,Nombre científico
1242,5.0,MYRTACEAE,Guayabo jaboticaba,Myrciaria cauliflora
1243,4.3,MYRTACEAE,Guayabo jaboticaba,Myrciaria cauliflora
1244,4.3,MYRTACEAE,Guayabo jaboticaba,Myrciaria cauliflora
1245,13.0,FABACEAE,Ébano,Caesalpinia ebano 
1246,4.3,ANNONACEAE,Guanábano,Annona muricata 
1247,5.3,SAPINDACEAE,Fierrillo,Allophylus psilospermus
1248,10.0,LECYTHIDACEAE,Bala de cañón,Couroupita guianensis 
1249,12.0,FABACEAE,Ébano,Caesalpinia ebano 
1250,4.0,OXALIDACEAE,Carambolo,Averrhoa carambola 
1251,18.0,ANACARDIACEAE,Caracolí,Anacardium excelsum 
1252,7.5,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
1253,0.9,CYCADACEAE,Cyca,Cycas sp.
1254,1.4,CYCADACEAE,Cyca,Cycas sp.
1255,15.0,ANACARDIACEAE,Caracolí,Anacardium excelsum 
1256,0.85,CYCADACEAE,Cyca,Cycas sp.
1257,1.1,CYCADACEAE,Cyca,Cycas sp.
1258,1.1,CYCADACEAE,Cyca,Cycas sp.
1259,1.9,OCHNACEAE,Mickey mouse,Ochna serrulata 
1260,13.0,CLUSIACEAE,Madroño,Garcinia madruno
1261,3.1,ZYGOPHYLLACEAE,Guayacán azul,Guaiacum officinale
1262,3.3,ZYGOPHYLLACEAE,Guayacán azul,Guaiacum officinale
1263,10.0,ARECACEAE,Palma corozo del Orinoco,Aiphanes horrida
1264,3.2,ZYGOPHYLLACEAE,Guayacán azul,Guaiacum officinale
1265,9.5,ARECACEAE,Palma corozo del Orinoco,Aiphanes horrida
1266,3.1,ZYGOPHYLLACEAE,Guayacán azul,Guaiacum officinale
1267,2.3,ZYGOPHYLLACEAE,Guayacán azul,Guaiacum officinale
1268,9.2,ARECACEAE,Palma corozo del Orinoco,Aiphanes horrida
1269,2.3,ZYGOPHYLLACEAE,Guayacán azul,Guaiacum officinale
1270,1.8,ZYGOPHYLLACEAE,Guayacán azul,Guaiacum officinale
1271,9.0,ARECACEAE,Palma corozo del Orinoco,Aiphanes horrida
1272,5.0,MYRTACEAE,Grosello,Eugenia uniflora
1273,5.1,MYRTACEAE,Grosello,Eugenia uniflora
1274,5.4,MYRTACEAE,Grosello,Eugenia uniflora
1275,5.2,MYRTACEAE,Grosello,Eugenia uniflora
1276,6.2,EBENACEAE,Zapote negro,Diospyros digyna 
1277,8.5,ARECACEAE,Palma corozo del Orinoco,Aiphanes horrida
1278,5.8,EBENACEAE,Zapote negro,Diospyros digyna 
1279,7.0,BIGNONIACEAE,Tulipán africano,Spathodea campanulata 
1280,15.0,OLEACEAE,Urapán,Fraxinus uhdei 
1281,5.0,MALPIGHIACEAE,Huesito,Malpighia glabra 
1282,12.0,CLUSIACEAE,Madroño,Garcinia madruno
1283,5.8,ANACARDIACEAE,Mango,Mangifera indica 
1284,7.2,ANACARDIACEAE,Mango,Mangifera indica 
1285,14.0,FABACEAE,Cedro amarillo,Albizia guachapele 
1286,14.0,MELIACEAE,Caobo,Swietenia macrophylla 
1287,6.0,EBENACEAE,Zapote negro,Diospyros digyna 
1288,4.3,MALPIGHIACEAE,Huesito,Malpighia glabra 
1289,10.0,MALVACEAE,Ceiba pentandra,Ceiba pentandra 
1290,11.5,FABACEAE,Palo cruz,Brownea grandiceps 
