,startA,startB,Distancia,Tiempo (min)
530,Campus Nacional,Doña María,1.2,12.0
531,Campus Nacional,Los Naranjos,1.68,13.6
532,Campus Nacional,Villa Paula,1.36,12.5333333333
533,Campus Nacional,Parque el Artista,1.28,12.2666666667
534,Campus Nacional,Puente pan de Queso I,1.84,14.1333333333
535,Campus Nacional,Puente pan de Queso II,1.84,14.1333333333
536,Campus Nacional,Metro Bello,2.56,16.5333333333
537,Campus Nacional,Parque Bello,1.84,14.1333333333
540,Dian Alpujarra,Moravia,3.2,18.6666666667
541,Dian Alpujarra,Universidad,2.48,16.2666666667
542,Dian Alpujarra,Ruta N,2.0,14.6666666667
543,Dian Alpujarra,Robledo,3.68,20.2666666667
544,Dian Alpujarra,Campus Nacional,2.32,15.7333333333
545,Dian Alpujarra,Distrito Creativo,1.12,11.7333333333
546,Dian Alpujarra,Plaza de La Libertad,0.08,8.26666666667
547,Dian Alpujarra,Parque de Las Luces II,0.16,8.53333333333
548,Dian Alpujarra,Pies Descalzos I,0.4,9.33333333333
549,Dian Alpujarra,Area Metropolitana,0.16,8.53333333333
550,Dian Alpujarra,Plaza Mayor,0.32,9.06666666667
551,Dian Alpujarra,Parque de Las Luces I,0.16,8.53333333333
552,Dian Alpujarra,Pies Descalzos II,0.4,9.33333333333
553,Dian Alpujarra,Málaga,0.32,9.06666666667
554,Dian Alpujarra,Palacé,0.72,10.4
555,Dian Alpujarra,Museo de Antioquia,0.8,10.6666666667
556,Dian Alpujarra,San Antonio,0.4,9.33333333333
557,Dian Alpujarra,Parque Berrio,0.72,10.4
558,Dian Alpujarra,Palacio de la Cultura,0.8,10.6666666667
559,Dian Alpujarra,SIU-UdeA,1.52,13.0666666667
560,Dian Alpujarra,Primer Parque de Laureles,3.52,19.7333333333
561,Dian Alpujarra,Otra Banda,1.6,13.3333333333
563,Dian Alpujarra,Florida Nueva,2.0,14.6666666667
565,Dian Alpujarra,María Mulata,2.0,14.6666666667
567,Dian Alpujarra,Batallón,2.64,16.8
568,Dian Alpujarra,Calle 51 Los Colores,2.8,17.3333333333
571,Dian Alpujarra,Orquídeas,2.56,16.5333333333
572,Dian Alpujarra,Santa Teresita,2.56,16.5333333333
573,Dian Alpujarra,La 65,1.2,12.0
574,Dian Alpujarra,San Pedro y San Pablo,2.48,16.2666666667
575,Dian Alpujarra,Parque de Los Mangos,1.28,12.2666666667
576,Dian Alpujarra,Pedro Nel Gómez,2.16,15.2
577,Dian Alpujarra,Estadio,1.84,14.1333333333
578,Dian Alpujarra,Suramericana,1.44,12.8
579,Dian Alpujarra,Colombia,1.68,13.6
580,Dian Alpujarra,San Juan,1.6,13.3333333333
583,Dian Alpujarra,Floresta,2.64,16.8
584,Dian Alpujarra,Parque de los Enamorados,1.76,13.8666666667
585,Dian Alpujarra,Salazar y Herrera,2.32,15.7333333333
586,Dian Alpujarra,Unicentro,1.76,13.8666666667
