,FAMILIA,Nombre común,Nombre científico,X,Y,NUMERO DE TALLOS,CAP_1,CAP_2,CAP_3,CAP_4,CAP_5,SUMATORIA CAP,ALTURA TOTAL,ALTURA DE COPA,DIAMETRO_MAYOR ,DIAMETRO_MENOR,ORIENTACIÒN DE COPA (Punto Cardinal)
1807,ANACARDIACEAE,Mango,Mangifera indica ,6.2654373,-75.5681683,2,33.5,27.2,,,,60.7,6.0,1.9,6.5,6.3,Norte-sur
1808,MALVACEAE,Catostemma,Catostemma digitatum,6.2653927,-75.568145,1,22.7,,,,,22.7,4.3,2.7,3.5,3.2,Norte -sur
1809,MALVACEAE,Cacao de monte,Pachira speciosa,6.265386,-75.5681982,1,0.0,,,,,0.0,0.6,0.2,0.3,0.2,Este -oeste
1810,MALVACEAE,Cacao de monte,Pachira speciosa,6.2653667,-75.5681695,1,78.0,,,,,78.0,8.0,3.7,9.5,7.5,Este -oeste
1811,MYRTACEAE,Guayaba ciruela,Psidium cattleianum,6.2653633,-75.5681333,2,30.7,22.2,,,,52.9,6.3,2.0,7.9,5.8,Norte-sur
1812,EUPHORBIACEAE,Ceiba tronadora,Hura crepitans ,6.265364,-75.5681097,1,124.5,,,,,124.5,18.5,7.8,20.5,16.3,Norte-sur
1813,RUBIACEAE,Azuceno de monte,Posoqueria latifolia,6.2653713,-75.568104,1,29.0,,,,,29.0,5.0,0.05,4.8,4.3,Este -oeste
1814,MALVACEAE,Guacimo,Guazuma ulmifolia ,6.265344,-75.5680648,1,204.0,,,,,204.0,17.0,8.0,23.5,19.5,Este -oeste
1815,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa ,6.2653433,-75.5681051,1,79.6,,,,,79.6,15.0,9.0,9.2,8.6,Norte-sur
1816,RUBIACEAE,Azuceno de monte,Posoqueria latifolia,6.265348,-75.5681257,1,30.1,,,,,30.1,5.8,0.4,4.3,4.1,Este -oeste
1817,FABACEAE,Piñón de oreja,Enterolobium cyclocarpum ,6.2653413,-75.5681474,1,216.2,,,,,216.2,17.0,10.0,25.9,23.7,Este -oeste
1818,MALVACEAE,Cacao de monte,Pachira speciosa,6.2653407,-75.5681824,1,89.8,,,,,89.8,9.0,3.2,9.3,8.2,Este -oeste
1819,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus,6.2653553,-75.5682096,1,23.7,,,,,23.7,5.3,2.4,7.5,6.3,Norte-sur
1820,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus,6.2653453,-75.5682543,1,21.2,,,,,21.2,5.3,2.3,3.5,3.2,Norte -sur
1821,ANNONACEAE,Guanábano,Annona muricata ,6.2653587,-75.5683082,1,71.5,,,,,71.5,11.0,3.4,10.2,6.1,Este -oeste
1822,ANACARDIACEAE,Mango,Mangifera indica ,6.2665287,-75.5684727,1,110.7,,,,,110.7,11.5,6.2,10.3,8.5,Norte-sur
1823,ANACARDIACEAE,Mango,Mangifera indica ,6.2665107,-75.5683534,1,150.3,,,,,150.3,10.5,2.8,10.5,10.2,Norte-sur
1824,MYRTACEAE,Guayabo,Psidium guajava ,6.2664627,-75.568171,1,67.2,,,,,67.2,9.0,2.8,13.5,11.5,Este -oeste
1825,OCHNACEAE,Pacó,Cespedesia macrophylla,6.2664647,-75.5682015,1,37.2,,,,,37.2,7.0,3.0,9.5,7.1,Norte-sur
1826,MELIACEAE,Caobo,Swietenia macrophylla ,6.2664713,-75.568255,1,147.8,,,,,147.8,17.0,5.5,18.5,15.2,Norte-sur
1827,MYRTACEAE,Guayabo,Psidium guajava ,6.2664733,-75.5683112,1,43.0,,,,,43.0,9.0,2.6,9.5,7.2,Norte-sur
1828,OCHNACEAE,Pacó,Cespedesia macrophylla,6.2664767,-75.5683639,1,48.3,,,,,48.3,7.3,3.7,9.5,7.1,Norte-sur
